"Payout Type", "Wypłata Typ"
"Exclude and Hide","Wykluczenie i Ukryj"
"Commission Percentage","Udział Komisji"
"Transaction Fee","Opłata transakcyjna"
"Apply commission on Discount","Zastosuj prowizję od Rabat"
"PDF Customer Address Template For Vendors","Szablon PDF Adres klienta sprzedawców"
"Use Custom PDF Customer Address Template For Vendors","Zastosowanie klienta PDF Adres klienta Szablon sprzedawców"
"HTML Customer Address Template For Vendors","Szablon HTML Adres klienta sprzedawców"
"Poll Tracking API","Ankieta Tracking API"
"Label Type","Typ etykiety"
"Dimension Units","wymiar Jednostki"
"Default Package Length","Długość pakietu domyślnym"
"Default Package Width","Opakowanie Szerokość domyślna"
"Default Package Height","Opakowanie Wysokość domyślna"
"PDF Page Size","PDF Page Size"
"PDF Page Height","PDF Strona Wysokość"
'PDF Label Rotation',"PDF Obrót etykiet"
"PDF Label Left Offset","Przesunięcie w lewo PDF Label"
"PDF Label Top Offset","PDF Label Top offset"
"Enable Printing DocTab","Umożliwiają druk DocTab"
"UPS Shipper Number","Numer nadawcy UPS"
"3rd Party Account Number","3rd Party Numer konta"
"3rd Party Country","3rd Party Kraj"
"3rd Party Postal Code","3rd Party Kod pocztowy"
"3rd Party Contact Name","3rd Party Kontakt Nazwa"
"3rd Party Company","3rd Party firmy"
"3rd Party Phone","3rd Party Telefon"
"Insurance","Ubezpieczenie"
"Delivery Confirmation","Potwierdzenie dostawy"
"Verbal Confirmation","Werbalne potwierdzenie"
"Pickup Type","pickup Typ"
"Container Type","Typ pojemnik"
"Destination Type","Typ przeznaczenia"
"PDF Label Width","Szerokość etykiety w formacie PDF"
"PDF Label Height","Wysokość etykiety w formacie PDF"
"Label Test Mode","Tryb testowy etykiety"
Requester ID","Wnioskodawca ID"
"Account ID","Konta ID"
"Pass Phrase","Hasło Fraza"
"New Pass Phrase","Zwroty nowe hasło"
"Confirm New Pass Phrase","Potwierdź nowe hasło frazy"
"Default Mail Class","Domyślnie Poczta Klasa"
"Default Mail Piece Shape","Domyślnie Poczta Sztuka Kształt"
"Stealth","Podstęp"
"Signature Confirmation","Podpis Potwierdzenie"
"Return Receipt","Potwierdzenie odbioru"
"Electronic Return Receipt","Elektronicznego przesyłania Powrót"
"Insured Mail","Ubezpieczone Poczta"
"Restricted Delivery","Ograniczone dostawy"
"Balance Threshold","Saldo progowe"
"Recredit Amount","Recredit Kwota"
"Test Mode","Tryb testowy"
"User Key","Klucz użytkownika"
"User Password","Użytkownik Hasło"
"Account Number","Numer konta"
"Meter Number","Numer licznika"
"Payment Type","Rodzaj płatności"
"Default Dry Ice Weight (KG)","Domyślnie Dry Ice Masa (kg)"
"Drop Off Type","Rodzaj zasnąć"
"Label Stock Type","Typ etykiety Zdjęcie"
"Signature Option","Opcja podpis"
"Shipment notification types","Typy powiadomień przesyłka"
"Shipment notification email(s)","Zgłoszenie wysyłki poczty email(s)"
"ITN (Internal Transaction Number)","ITN (wewnętrzny numer transakcji)"
"Always use assigned vendor","Zawsze używaj przypisany sprzedawca"
"When in stock use local, otherwise use vendor","Gdy w stanie używać lokalnych, w inny sposób korzystać z dostawcą"



