"Account password management","Zarządzanie hasłem do konta"
"Pending","Oczekujące"
"Exported","Wyeksportowane"
"Acknowledged","Potwierdzone"
"Backorder","Zamówione"
"On Hold","Wstrzymane"
"Ready to Ship","Gotowe do wysłania"
"Pending Pickup","Oczekuje na zbiórkę"
"Label(s) printed","Etykieta wydrukowana"
"Shipped","Wysłane"
"Delivered","Otrzymane"
"Canceled","Anulowane"
"Subtotal Excl. Tax", "Wartość zamówienia netto"
"Tax Value", "Wartość podatku"
"Shipping Cost", "Dostawa"
"Totals", "Do zapłaty"
"Please enter valid email address", "Proszę podać poprawny adres e-mail"
"Vendor portal", "Panel zarządzania sklepem"
"Settings","Ustawienia"
"Order","Zamówienie"
"Orders","Zamówienia"
"Action","Akcja"
"Customer name","Nazwa klienta"
"Question date","Data pytania"
"Answer date","Data odpowiedzi"
"Product","Produkt"
"Questions","Obsługa zapytań klientów"
"Browse customer questions","W tym panelu możesz przeglądać, modyfikować i wysyłać zamówienia do klientów. Znajdź zamówienie i kliknij je, aby wejść   szczegóły."
"View","Przeglądaj"
"Manage placements", "Powierzchnia reklamowa"
"Actions", "Operacje"
"Company settings","Ustawienia podstawowe"
"Company data","Rejestracyjne dane firmy"
"Company contact data","Ogólne dane kontaktowe firmy"
"Executive contact (business)","Główna osoba kontaktowa odpowiedzialna za współpracę"
"Administrator contact (ITC or business)","Konto głównej osoby  odpowiedzialnej za administrację systemem"
"Company name","Nazwa firmy"
"Street and Number","Ulica i numer"
"City","Miasto"
"Zip / Postal code","Kod pocztowy"
"Tax identification no","Numer NIP"
"WWW","Firmowa strona www"
"Email","Adres e-mail"
"Phone","Numer telefonu"
"Name","Imię"
"Surname","Nazwisko"
"Phone ","Numer telefonu stacjonarny"
"Mobile","Numer telefonu komórkowy"
"Email (default login)","Adres e-mail (podstawowy login do zarządzania kontem)"
"New Password","Nowe hasło"
"Repeat New Password","Powtórz nowe hasło"
"Shipment settings","Sposoby dostawy"
"RMA settings","Reklamacje i zwroty"
"DHL Settings","Konfiguracja DHL"
"UPS Settings","Konfiguracja UPS"
"Return address","Adres do zwrotów"
"RMA contact data","Dane kontaktowe do działu odpowiedzianego za zwroty i reklamacje"
"RMA executive","Główna osoba odpowiedzialna za zwroty i reklamacje"
"RMA Shipping Settings","Spedytor obsługujący zwroty"
"Please enter the same value again.","Proszę ponownie wprowadzić wartość."
"Name and surname","Name i nazwisko"
"Basket slogan no 1", "Hasło w koszyku nr 1"
"Basket slogan no 2", "Hasło w koszyku nr 2"
"Product - Brand shop info", "Produkt - Info o marce"
"Vendor type", "Typ sprzedawcy"
"Question was successfully saved","Odpowiedź została zapisana i przesłana do klienta."
"Save","Zapisz"
"Cancel","Anuluj"
"Mass Actions","Zarządzanie opisami produktów"
"Size tables","Tabele rozmiarów"
"Use another DHL account for RMA","Użyj innego konta DHL do zwrotów"
"Use another UPS account for RMA","Użyj innego konta UPS do zwrotów"
"Account number","Numer konta (identyfikator)"
"DHL login","Login do DHL"
"RMA Settings", "Ustawienia RMA"
"DHL account", "Numer konta DHL (identyfikator)"
"DHL eCas id", "Identyfikator eCas dla DHL"
"Terminal code", "Kod terminala"
"UPS login","Login do UPS"
"UPS license key", "Klucz licencyjny UPS"
"DHL password","Hasło do DHL"
"UPS password","Hasło do UPS"
"License key","Klucz licencyjny"
"Basket - Delivery info", "Koszyk - Informacja o dostawie"
"Vendor name prefix","Przedrostek do nazwy vendora"
"Can be empty","Może być pusty"
"* Default (global setting)", "* Domyślnie (ustawienia globalne)"
"Order Date", "Data zamówienia"
"Customer", "Klient"
"Use Custom HTML Customer Address Template For Vendors", "Use Custom HTML Customer Address Template For Vendors - PL"
"Use Custom PDF Customer Address Template For Vendors", "Use Custom PDF Customer Address Template For Vendors - PL"
"Statement", "Statement - PL"
"Use Rates Fallback Chain", "Use Rates Fallback Chain - PL"
"Enter custom data for this vendor.<br/>Each part should start with:<br/><pre>===== part_name =====</pre><br/>Parts can be referenced from product template like this:<xmp><?php echo Mage::helper('udropship')</xmp><br/><xmp>  ->getVendor($_product)</xmp><br/><xmp>  ->getData('part_name')?></xmp>","Dane specyficzne dla sprzedawcy.<br/>Każda sekcja powinna rozpoczynać się od:<br/><pre>===== nazwa_sekcji =====</pre><br/>Sekcje mogą być pobierane z szablonu produktu w następujący sposób:<xmp><?php echo Mage::helper('udropship')</xmp><br/><xmp>  ->getVendor($_product)</xmp><br/><xmp>  ->getData('part_name')?></xmp>"
"Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier", "Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier - PL"
"asc", "rosn"
"desc", "malj"
"Default", "Domyślnie"
"Code", "Kod"
"Title", "Nazwa"
"GH API", "GH API"
"GH API Access", "Dostęp do GH API"
"<br />Default value: %.2F. Leave empty to use default.", "<br />Domyślne: %.2F. Pozostaw puste aby użyć wartości domyślnej."
"Brandshop settings", "Ustawienia dla marek"
"Settings has been saved.", "Ustawienia zostały zapisane."
"Vendor name", "Nazwa sprzedawcy"
"Description on vendor page", "Opis na stronie sprzedawcy"
"Customer can ask", "Klient może zadawać pytania"
"Can add product", "Można zakładać produkty"
"Vendor", "Sprzedawca"
"Brandshop", "Marka"
"Vendor description at brandshop page", "Opis sprzedawcy na stronie marki"
"Vendor can add products to brandshop", "Sprzedawca może zakładać produkty dla danej marki"
"Save settings", "Zapisz ustawienia"
"Brandshop settings", "Ustawienia marek"
"Brandshop settings details", "Szczegóły ustawień dla marki"
"Select brandshop", "Wybierz markę"
"Help","Pomoc"
"Billing address changed (%s)", "Zmiana adresu płatnika (%s)"
"PO Split (#%s&rarr;#%s)", "Podział zamówienia (#%s&rarr;#%s)"
"Items of #%s:", "Produkty z #%s:"
"Item added %s", "Dodano produkt %s"
"Item changed %s (%s)" ,"Zmieniono produkt %s (%s)"
"%s address changed (%s)", "Zmiana adresu: %s (%s)"
"Message send to %s: %s", "Wysłano wiadomość do %s: %s"
"Changed POS (%s&rarr;%s)", "Zmiana POS (%s&rarr;%s)"
"Billing", "Faktura"
"Item removed %s", "Usunięto produkt %s"
"Legal entity","Podmiot"
